CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name

=== Aggregate Counters ==============================================================================================================================

         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | CASESPLIT
         0x                         |        0.0s                                     | CASE_SPLIT
         0x                         |        0.0s                                     | CCORE_VALID_REMOVAL
        36x                         |        0.0s        0.0s                         | CGEN_GENERATE_COMPONENT
      5057x                         |        0.0s        0.0s                         | CMDs
         0x                         |        0.0s                                     | ExprManager
        24x                         |        0.0s        0.0s                         | FUNC_ANAL
        14x                         |        0.1s        0.0s                         | FuncAnal
         1x                         |        0.0s        0.0s                         | GetCandidates
         0x                         |        0.0s                                     | HS
         4x                         |        0.0s        0.0s                         | OPT_CONST_PROP
         4x                         |        0.0s        0.0s                         | OPT_CSE
         4x                         |        0.0s        0.0s                         | OPT_DEAD_CODE
         3x                         |        0.0s        0.0s                         | OPT_NOR_MUX
         3x                         |        0.0s        0.0s                         | OPT_RPIC
         3x                         |        0.0s        0.0s                         | OPT_UF_CONST_PROP
         3x                         |        0.0s        0.0s                         | OPT_UF_DEAD_CODE1
         2x                         |        0.0s        0.0s                         | OPT_UF_PRE_DEAD_CODE
         3x                         |        0.0s        0.0s                         | OPT_UF_STR_REDUX
         3x                         |        0.0s        0.0s                         | OPT_WLE
         1x                         |        0.0s        0.0s                         | PENMGR_init_check
         1x                         |        0.0s        0.0s                         | PEN_TIME_init_check
        15x                         |        0.3s        0.1s                         | PerformAlwaysGoodXforms
         1x                         |        0.0s        0.0s                         | SBV
         1x                         |        0.3s        0.3s                         | SEQ
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | SOLS
         1x          1x          0x |        0.0s                    0.0s        0.0s | SRF
         0x                         |        0.0s                                     | TRANS_CONST
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | Transform1TU
         1x          1x          0x |        0.0s        0.0s        0.0s        0.0s | Transform1TUXForm1
         1x          1x          0x |        0.4s        0.4s        0.4s        0.0s | VERIFY
        10x                         |        0.3s        0.1s                         | XForms
         1x                         |        0.0s        0.0s                         | __add_independent_clock_enables
         1x                         |        0.0s        0.0s                         | __apply_always_constant
         6x                         |        0.0s        0.0s                         | __cdb_exists
         2x                         |        0.0s        0.0s                         | __has_inout
         2x                         |        0.0s        0.0s                         | __process_hier_power_models
         1x                         |        0.0s        0.0s                         | __process_independent_clock_enables
         2x                         |        0.0s        0.0s                         | __set_hierarchy
         4x                         |        0.0s        0.0s                         | _bitblast_clock_tree
         4x                         |        0.0s        0.0s                         | _buf_rm
         4x                         |        0.0s        0.0s                         | _compute_clock_info
         2x                         |        0.0s        0.0s                         | _constprop_clkindata
         9x                         |        0.0s        0.0s                         | _count_message
         1x                         |        0.0s        0.0s                         | _db_move_async_reset
         2x                         |        0.0s        0.0s                         | _db_move_clkgate
         2x                         |        0.0s        0.0s                         | _deadcode_elim
         2x                         |        0.0s        0.0s                         | _defer_messages
         3x                         |        0.0s        0.0s                         | _feature_marker
         6x                         |        0.0s        0.0s                         | _get_new_mods
         3x                         |        0.0s        0.0s                         | _get_set_constant
         6x                         |        0.0s        0.0s                         | _get_state
       113x                         |        0.0s        0.0s                         | _get_user_level
         2x                         |        0.0s        0.0s                         | _identify_clock_computing_flops_and_latches
         2x                         |        0.0s        0.0s                         | _infer_muxlatch
       772x                         |        0.0s        0.0s                         | _issue_msg
        32x                         |        0.0s        0.0s                         | _log_env_access
         2x                         |        0.0s        0.0s                         | _mem_cell_2_mem_mod
         2x                         |        0.0s        0.0s                         | _merge_cdbmerge_node
